1
74 年 1 期  2×8   A. 不除草
10,13,10,0,495
P1A
      5.14,          3,      18.03,        123,         38,       4.43,       4.43, 36.0162601, 0.76397515, 53.6666666
      8.26,          3,       17.9,        212,         13,       7.84,       7.84, 36.9811320, 0.94222222,         75
      5.46,          4,      13.55,        137,         47,       4.91,       4.91, 35.8394160, 0.74456521,         46
      5.51,          3,      16.53,        133,         41,       5.13,       5.13, 38.5714285, 0.76436781,         58
      5.92,          3,       15.7,        129,         39,       5.28,       5.28, 40.9302325, 0.76785714,         56
      3.32,          1,       16.1,         75,         12,       3.16,       3.16, 42.1333333, 0.86206896,         87
      2.41,          1,      13.35,         56,         16,       2.26,       2.26, 40.3571428, 0.77777777,         72
      4.74,          2,      15.75,        106,         27,       4.27,       4.27, 40.2830188, 0.79699248,       66.5
      2.78,          2,       16.3,         71,         42,       2.52,       2.52, 35.4929577, 0.62831858,       56.5
      6.41,          3,      14.63,        142,         15,       6.33,       6.33, 44.5774647, 0.90445859, 52.3333333
      5.71,          2,      17.25,        121,         17,        5.3,        5.3, 43.8016528, 0.87681159,         69
      5.19,          3,       14.3,        131,         19,       4.81,       4.81, 36.7175572, 0.87333333,         50
      6.32,          2,      17.05,        151,         11,       6.11,       6.11, 40.4635761, 0.93209876,         81
P2A
      6.12,          3,      16.17,        269,         32,       5.67,       5.67, 21.0780669, 0.89368770, 100.333333
      5.47,          3,      15.53,        230,         38,        5.1,        5.1, 22.1739130, 0.85820895, 89.3333333
       5.8,          3,       18.7,        290,         31,       5.24,       5.24, 18.0689655, 0.90342679,        107
      4.99,          2,       16.4,        133,         30,       2.66,       2.66,         20, 0.81595092,       81.5
      6.02,          3,      17.63,        249,         56,        5.3,        5.3, 21.2851405, 0.81639344, 101.666666
      4.85,          3,      17.23,        269,         30,       4.36,       4.36, 16.2081784, 0.89966555, 99.6666666
      7.17,          4,       16.5,        290,         60,       6.57,       6.57, 22.6551724, 0.82857142,       87.5
       6.8,          2,      14.27,        135,         32,       2.49,       2.49, 18.4444444, 0.80838323,       83.5
      7.16,          2,       14.3,        157,         31,       2.88,       2.88, 18.3439490, 0.83510638,         94
      6.99,          3,      18.63,        271,         31,       6.48,       6.48, 23.9114391, 0.89735099, 100.666666

  7.29,     4, 16.05,   305,    23,  6.61,  6.61,21.672131,0.9298780,       82
 10.03,     5,  18.1,   341,    54,  9.43,  9.43,27.653958,0.8632911,       79
 11.75,     5, 18.22,   479,    47, 11.03, 11.03,23.027139,0.9106463,    105.2
 11.12,     6, 18.32,   340,   146,  9.93,  9.93,29.205882,0.6995884,     97.2
  4.96,     3, 16.13,   179,    34,  4.55,  4.55,25.418994,0.8403755,       71
  3.84,     3, 14.73,   132,    17,   3.6,   3.6,27.272727,0.8859060,49.666666
  3.58,     2, 15.75,   118,     4,  3.44,  3.44,29.152542,0.9672131,       61
  6.37,     3, 14.93,   218,     7,  5.85,  5.85,26.834862,0.9688888,       75
  3.49,     2,  15.4,   113,    32,  3.17,  3.17,28.053097,0.7793103,     72.5
  1.53,     1,  15.7,    58,     3,  1.47,  1.47,25.344827,0.9508196,       61
  9.96,     4, 17.45,   366,     4,  9.45,  9.45,25.819672,0.9891891,     92.5
  3.58,     2,  12.5,    98,    10,  3.42,  3.42,34.897959,0.9074074,       54
  5.07,     4, 12.65,   114,   102,  3.43,  3.43,30.087719,0.5277777,       54
  7.53,     3, 19.03,   196,    55,  6.51,  6.51,33.214285,0.7808764,83.666666
  9.23,     4,  18.3,   316,    29,  8.74,  8.74,27.658227,0.9159420,    86.25
  4.82,     3,  14.5,   168,    66,  4.37,  4.37,26.011904,0.7179487,       78
  5.79,     3, 17.27,   196,   107,  5.16,  5.16,26.326530,0.6468646,      101
  2.03,     2,  13.4,    73,     5,  1.95,  1.95,26.712328,0.9358974,       39
  4.99,     3, 12.77,   193,    27,  4.61,  4.61,23.886010,0.8772727,73.333333
 11.45,     6, 16.26,   343,   100,  10.2, 10.86,29.737609,0.7742663,     88.6
  5.28,     3, 17.77,   212,    22,  4.93,  4.93,23.254716,0.9059829,       78
  4.94,     3,  18.3,   208,    30,  4.53,  4.53,21.778846,0.8739495,79.333333
 10.04,     5, 19.88,   375,   141,  8.87,  8.87,23.653333,0.7267441,    103.2
 14.59,     6, 19.32,   463,   111,  10.3, 14.48,22.246220,0.8066202,    114.8
 13.92,     6, 17.76,   332,    39, 11.58, 13.25,34.879518,0.8948787,     74.2
 11.83,     6,  15.1,   312,    94,   9.2, 11.66,29.487179,0.7684729,     81.2
  5.76,     4,  15.5,   167,    75,  5.04,  5.04,30.179640,0.6900826,     60.5
  5.62,     4,  16.4,   192,    20,  5.19,  5.19, 27.03125,0.9056603,       53
  6.17,     4, 19.43,   162,    83,  5.68,  5.68,35.061728,0.6612244,    61.25
   6.4,     4,  19.5,   307,   196,  4.94,  4.94,16.091205,0.6103379,   125.75
 14.58,     7,  13.2,   328,    74,  9.68, 10.41,29.512195,0.8159203,     80.4
  6.56,     4,  14.4,   223,    30,  6.13,  6.13,27.488789,0.8814229,    63.25
  9.45,     4, 11.56,   297,    85,  8.33,  8.33,28.047138,0.7774869,     95.5
 12.43,     5, 17.26,   429,   159, 11.01, 11.01,25.664335,0.7295918,    117.6
  9.15,     4, 16.25,   316,    48,  8.58,  8.58,27.151898,0.8681318,       91
  7.81,     3, 15.16,   253,    30,  7.24,  7.24,28.616600,0.8939929,94.333333
   4.5,     3, 15.17,   137,    20,  4.18,  4.18,30.510948,0.8726114,52.333333
     8,     4, 15.97,   235,    15,  7.64,  7.64,32.510638,     0.94,     62.5
  9.03,     4, 16.32,   300,    39,  8.44,  8.44,28.133333,0.8849557,    84.75
  4.78,     4, 14.08,   165,    47,  4.25,  4.25,25.757575,0.7783018,       53
   6.6,     2, 18.45,   193,    20,  6.24,  6.24,32.331606,0.9061032,    106.5
 13.45,     7, 19.48,   337,    65, 11.59, 13.13,34.391691,0.8383084,     80.4
 21.16,     8, 17.64,   498,   137,  14.3, 16.21,28.714859,0.7842519,      127
 18.26,     8, 18.66,   407,   110, 11.78, 13.24,28.943488,0.7872340,    103.4
  7.95,     3, 19.53,   227,    22,  7.26,  7.26,31.982378,0.9116465,       83
 10.39,     6, 16.42,   264,    96,  8.42,  9.58,31.893939,0.7333333,       72
 15.44,     4, 23.05,   564,    14,  14.7,  14.7,26.063829,0.9757785,    144.5
 15.92,     9, 19.58,   479,    54, 12.75, 13.97,26.617954,0.8986866,    106.6
 10.26,     3, 19.23,   289,    29,  9.53,  9.53,32.975778,0.9088050,      106
  7.99,     4, 16.77,   282,    31,  7.54,  7.54,26.737588,0.9009584,    78.25
  14.5,     4,  20.1,   429,    35, 13.49, 13.49,31.445221,0.9245689,      116
 13.44,     6, 19.04,   390,    75, 12.34, 13.01,31.641025,0.8387096,       93
  7.44,     5, 16.48,   224,    45,  6.72,  6.72,       30,0.8327137,     53.8
  7.19,     4, 20.97,   418,    10,  6.65,  6.65,15.909090,0.9766355,      107
  11.8,     3, 19.57,   319,    86, 10.17, 10.17,31.880877,0.7876543,      135
   2.8,     2,  14.8,    77,    19,  2.53,  2.53,32.857142,0.8020833,       48
   6.6,     3,  16.2,   210,     9,  6.21,  6.21,29.571428,0.9589041,       73
  5.23,     4,    15,   206,    56,  4.76,  4.76,23.106796,0.7862595,     65.5
   6.6,     4, 16.95,   249,    58,  5.95,  5.95,23.895582,0.8110749,    76.75
 12.68,     4, 17.58,   489,   116, 11.72, 11.72,23.967280,0.8082644,   151.25
